Title,Genre,Rating,Runtime,Release_Date,Release_Month,Release_Year,Budget,Cast_1,Cast_2,Cast_3,Director_1,Writer_1,Description,Tomatometer_Status,Tomatometer_Rating,Tomatometer_Count,Audience_Status,Audience_Rating,Audience_Count
The Mummy: Tomb of the Dragon Emperor,Action,PG-13 ,112,7/24/2008,7,2008,145000000,Brendan Fraser,John Hannah,Maria Bello,Rob Cohen,Alfred Gough,"The Fast and the Furious director Rob Cohen continues the tale set into motion by director Stephen Sommers with this globe-trotting adventure that finds explorer Rick O'Connell and son attempting to thwart a resurrected emperor's (Jet Li) plan to enslave the entire human race. It's been 2,000 years since China's merciless Emperor Han and his formidable army were entombed in terra cotta clay by a double-dealing sorceress (Michelle Yeoh), but now, after centuries in suspended animation, an ancient curse is about to be broken. Thanks to his childhood adventures alongside father Rick (Brendan Fraser) and mother Evelyn (Maria Bello), dashing young archeologist Alex O'Connell (Luke Ford) is more than familiar with the power of the supernatural. After he is tricked into awakening the dreaded emperor from his eternal slumber, however, the frightened young adventurer is forced to seek out the wisdom of his parents -- both of whom have had their fair share of experience battling the legions of the undead. Should the fierce monarch prove capable of awakening his powerful terra cotta army, his diabolical plan for world domination will finally be set into motion. Of course, the one factor that this emperor mummy failed to consider while solidifying his power-mad plans was the O'Connells, and before this battle is over, the monstrous monarch will be forced to contend with the one family that isn't frightened by a few rickety reanimated corpses. ~ Jason Buchanan, Rovi",Rotten,12,177,Spilled,30,340610
Apocalypse Now,Action,R ,153,1/1/1979,1,1979,31500000,Martin Sheen,Marlon Brando,Robert Duvall,Francis Ford Coppola,John Milius,"One of a cluster of late-1970s films about the Vietnam War, Francis Ford Coppola's Apocalypse Now adapts the Joseph Conrad novella Heart of Darkness to depict the war as a descent into primal madness. Capt. Willard (Martin Sheen), already on the edge, is assigned to find and deal with AWOL Col. Kurtz (Marlon Brando), rumored to have set himself up in the Cambodian jungle as a local, lethal godhead. Along the way Willard encounters napalm and Wagner fan Col. Kilgore (Robert Duvall), draftees who prefer to surf and do drugs, a USO Playboy Bunny show turned into a riot by the raucous soldiers, and a jumpy photographer (Dennis Hopper) telling wild, reverent tales about Kurtz. By the time Willard sees the heads mounted on stakes near Kurtz's compound, he knows Kurtz has gone over the deep end, but it is uncertain whether Willard himself now agrees with Kurtz's insane dictum to ""Drop the Bomb. Exterminate them all."" Coppola himself was not certain either, and he tried several different endings between the film's early rough-cut screenings for the press, the Palme d'Or-winning ""work-in-progress"" shown at Cannes, and the final 35 mm U.S. release (also the ending on the video cassette). The chaotic production also experienced shut-downs when a typhoon destroyed the set and star Sheen suffered a heart attack; the budget ballooned and Coppola covered the overages himself. These production headaches, which Coppola characterized as being like the Vietnam War itself, have been superbly captured in the documentary, Hearts of Darkness: A Filmmaker's Apocalypse. Despite the studio's fears and mixed reviews of the film's ending, Apocalypse Now became a substantial hit and was nominated for eight Academy Awards, including Best Picture, Best Director, Best Supporting Actor for Duvall's psychotic Kilgore, and Best Screenplay. It won Oscars for sound and for Vittorio Storaro's cinematography. This hallucinatory, Wagnerian project has produced admirers and detractors of equal ardor; it resembles no other film ever made, and its nightmarish aura and polarized reception aptly reflect the tensions and confusions of the Vietnam era. ~ Lucia Bozzola, Rovi",Certified-Fresh,98,95,Upright,94,286037
Mortdecai,Action,R ,106,1/23/2015,1,2015,60000000,Johnny Depp,Gwyneth Paltrow,Ewan McGregor,David Koepp,Eric Aronson,"Juggling some angry Russians, the British Mi5, his impossibly leggy wife and an international terrorist, debonair art dealer and part time rogue Charlie Mortdecai (Johnny Depp) must traverse the globe armed only with his good looks and special charm in a race to recover a stolen painting rumored to contain the code to a lost bank account filled with Nazi gold. (c) Lionsgate",Rotten,12,110,Spilled,30,25307
The Hurt Locker,Action,R ,131,6/26/2009,6,2009,15000000,Jeremy Renner,Anthony Mackie,Brian Geraghty,Kathryn Bigelow,Mark Boal,"Based on the personal wartime experiences of journalist Mark Boal (who adapted his experiences with a bomb squad into a fact-based, yet fictional story), director Kathryn Bigelow's Iraq War-set action thriller The Hurt Locker presents the conflict in the Middle East from the perspective of those who witnessed the fighting firsthand -- the soldiers. As an elite Army Explosive Ordnance Disposal team tactfully navigates the streets of present-day Iraq, they face the constant threat of death from incoming bombs and sharp-shooting snipers. In Baghdad, roadside bombs are a common danger. The Army is working to make the city a safer place for Americans and Iraqis, so when it comes to dismantling IEDs (improvised explosive devices) the Explosive Ordnance Disposal (EOD) crew is always on their game. But protecting the public isn't easy when there's no room for error, and every second spent dismantling a bomb is another second spent flirting with death. Now, as three fearless bomb technicians take on the most dangerous job in Baghdad, it's only a matter of time before one of them gets sent to ""the hurt locker."" Jeremy Renner, Guy Pearce, and Ralph Fiennes star. ~ Jason Buchanan, Rovi",Certified-Fresh,97,285,Upright,84,96061
Doctor Dolittle,Action,G,145,12/19/1967,12,1967,71000000,Rex Harrison,Samantha Eggar,Anthony Newley,Richard Fleischer,Leslie Bricusse,"Rex Harrison, although not at all like the portly man described in Hugh Lofting's charming series of children's stories, is sheer perfection as the kindly animal doctor in Leslie Bricusse's musical fantasy Doctor Dolittle. Sadly, Harrison is the only thing nearing perfection in this overstuffed and over-mounted fiasco that nearly brought down 20th Century Fox. Considered a lunatic because he can converse in 498 animal dialects, Dolittle gathers up his friends Matthew Mugg (Anthony Newley) and Emma Fairfax (Samantha Eggar) and heads off on a journey to the South Seas to find the elusive great pink snail and the giant lunar moth. Along the way, the group encounters a succession of bizarre human and animal characters -- most notably the legendary pushme-pullyou, an animal so freakish that it compels Albert Blossom (Richard Attenborough) to burst out into the exuberant song, ""I've never Seen Anything Like It in My Life."" Incredibly, the film was nominated for a Best Picture Oscar in 1967. ~ Paul Brenner, Rovi",Rotten,29,21,Spilled,57,73397
Street Fighter: The Legend of Chun-Li,Action,PG-13 ,97,2/27/2009,2,2009,50000000,Kristin Kreuk,Chris Klein,Michael Clarke Duncan,Andrzej Bartkowiak,Justin Marks,"As the *Street Fighter saga celebrates its 20th anniversary, fight fans are invited to follow along with fearsome fighter Chun-Li (Smallville's Kristin Kreuk) as she faces off against a series of formidable opponents in this feature adaptation of the popular video-game franchise directed by Exit Wounds' Andrzej Bartkowiak. Previously adapted for the screen in the 1994 Jean-Claude Van Damme film, the series continues to thrive as eager gamers across the globe go toe-to-toe to determine who is the most skilled and powerful warrior in the video-game universe. Michael Clarke Duncan, Chris Klein, Rick Yune, and Neal McDonough co-star in the 20th Century Fox production.",Rotten,5,62,Spilled,18,207455
Empire,Action,R ,100,12/6/2002,12,2002,4000000,John Leguizamo,Peter Sarsgaard,Denise Richards,Franc. Reyes,Franc. Reyes,"Victor Rosa runs a successful ""street pharmaceutical"" business that peddles a high-in-demand heroin mix, which he has named ""Empire"". His beautiful fiancee, Carmen, a Baruch College student, befriends a classmate who has an investment-banker boyfriend named Jack Wimmer. Victor meets Jack, and they instantly connect. Both are hard-core businessmen from two different sides of the legal fence. When Jack offers Victor a piece of the action on the stock market, Victor finally sees that this could be his ticket out of the violent streets of the South Bronx--and so, he jumps at the opportunity. But there is a bigger price to be paid than clean money for his gorgeous new Soho lifestyle. For the first time, Victor is confronted with a price tag that he will find very difficult to pay.",Rotten,21,101,Upright,62,9793
Falling Down,Action,R ,112,2/26/1993,2,1993,25000000,Michael Douglas,Robert Duvall,Barbara Hershey,Joel Schumacher,Ebbe Roe Smith,"It's just not William Foster's (Michael Douglas) day. Laid off from his defense job, Foster gets stuck in the middle of the mother of all traffic jams. Desirous of attending his daughter's birthday party at the home of his ex-wife (Barbara Hershey), Foster abandons his car and begins walking, encountering one urban humiliation after another (the Korean shopkeeper who obstinately refuses to give change is the worst of the batch). He also slowly unravels mentally, finally snapping at a fast-food restaurant that refuses to serve him breakfast because it's ""too late."" Running amok with an arsenal of weapons at the ready, Foster -- also known as ""D-FENS"" because of his vanity license plate -- rapidly becomes a source of terror to some, a folk hero to others. It's up to reluctant cop Prendergast (Robert Duvall), on the eve of his retirement, to bring D-FENS down.",Certified-Fresh,73,56,Upright,84,92510
Ransom,Action,R ,120,11/8/1996,11,1996,80000000,Mel Gibson,Rene Russo,Gary Sinise,Ron Howard,Cyril Hume,"Ron Howard directed this thriller which stars Mel Gibson as Tom Mullen, a former fighter pilot who built a ramshackle one-plane airline into a major multinational service fleet. Mullen has a multi-million dollar fortune, a beautiful wife, Kate (Rene Russo) and a nine-year-old son, Sean (Brawley Nolte) that he dotes on. However, Mullen's life comes crashing down around him when Sean is kidnapped. The FBI are called in, but Mullen is wary -- he was the recent target of an FBI investigation in which he was found to have bribed union officials while negotiating a contract. FBI Agent Hawkins (Delroy Lindo) advises Mullen to make the $2 million dollar drop to pay the kidnappers, which will make it easier to track the criminals, but when the tradeoff goes wrong, Mullen takes a new tactic -- he goes on television and offers a $2 million bounty for the heads of the people who kidnapped his child. Meanwhile, it becomes clear the kidnappers include Maris Connor (Lili Taylor), who once worked for the Mullens, and Jimmy Shaker (Gary Sinise), one of the cops who investigated Mullen for bribery. This remake of the 1956 Glenn Ford vehicle of the same name was scripted by Richard Price, who has a bit part as a police detective.",Certified-Fresh,75,72,Upright,62,119919
Taken,Action,PG-13 ,91,1/30/2009,1,2009,25000000,Liam Neeson,Maggie Grace,Famke Janssen,Pierre Morel,Luc Besson,"An ex-soldier (Liam Neeson) traveling through Europe embarks on a frantic quest to rescue his daughter (Maggie Grace) after the young girl is abducted by slave traders in District B13 director Pierre Morel's contemporary thriller Taken. Robert Mark Kamen joins the screenwriting team, which also includes Morel and longtime collaborator Luc Besson, who also produces. ~ Jason Buchanan, Rovi",Rotten,58,175,Upright,85,738934
